,ltla_code,X,utla_code,utla_name,ltla_name,total_first_dose,total_second_dose,population,median_age,White_British,Other_White,Mixed,Asian,Black,Other,mean_imd_score
1,E06000001,1,E06000001,Hartlepool,Hartlepool,56357,44325,93663,41.8,96.77419355,1.075268817,0,2.150537634,0,0,35.037
2,E06000002,2,E06000002,Middlesbrough,Middlesbrough,82215,62813,140980,36.2,82.9787234,2.836879433,1.418439716,8.510638298,2.127659574,2.127659574,40.46
3,E06000003,3,E06000003,Redcar and Cleveland,Redcar and Cleveland,88568,70315,137150,44.9,98.51851852,0,0.740740741,0.740740741,0,0,29.792
4,E06000004,4,E06000004,Stockton-on-Tees,Stockton-on-Tees,120581,90280,197348,40.3,93.84615385,1.025641026,0.512820513,3.076923077,0.512820513,1.025641026,25.79
5,E06000005,5,E06000005,Darlington,Darlington,67724,49682,106803,42.9,92.45283019,3.773584906,0.943396226,2.830188679,0,0,25.657
6,E06000006,6,E06000006,Halton,Halton,80751,59052,129410,41,96.82539683,1.587301587,0.793650794,0.793650794,0,0,32.325
7,E06000007,7,E06000007,Warrington,Warrington,135849,99335,210014,41.9,89.04761905,4.761904762,0.952380952,3.333333333,0.476190476,1.428571429,18.942
8,E06000008,8,E06000008,Blackburn with Darwen,Blackburn with Darwen,87959,58610,149696,36.1,66.21621622,3.378378378,1.351351351,27.02702703,0.675675676,1.351351351,36.013
9,E06000009,9,E06000009,Blackpool,Blackpool,90796,73121,139446,43.6,95,2.857142857,0.714285714,0.714285714,0,0.714285714,45.039
10,E06000010,10,E06000010,"Kingston upon Hull, City of","Kingston upon Hull, City of",148622,109273,259778,35.6,88.12260536,4.980842912,0.766283525,3.0651341,1.915708812,1.149425287,40.564
11,E06000011,11,E06000011,East Riding of Yorkshire,East Riding of Yorkshire,238464,187264,341173,48.5,95.85798817,2.071005917,0.591715976,0.887573964,0.295857988,0.295857988,15.605
12,E06000012,12,E06000012,North East Lincolnshire,North East Lincolnshire,96732,72423,159563,42.3,95,2.5,0.625,1.25,0,0.625,31.335
13,E06000013,13,E06000013,North Lincolnshire,North Lincolnshire,110667,85750,172292,44,91.17647059,4.705882353,0.588235294,2.352941176,0.588235294,0.588235294,22.096
14,E06000014,14,E06000014,York,York,127590,88303,210618,37.8,88.94230769,4.807692308,1.442307692,3.365384615,0.480769231,0.961538462,11.727
15,E06000015,15,E06000015,Derby,Derby,157663,119429,257302,36.7,77.734375,5.078125,1.953125,10.9375,2.34375,1.953125,26.323
16,E06000016,16,E06000016,Leicester,Leicester,197790,132554,354224,31.7,42.28571429,8,2.857142857,37.42857143,6.857142857,2.571428571,30.877
17,E06000017,17,E06000017,Rutland,Rutland,27291,20553,39927,46.6,97.36842105,2.631578947,0,0,0,0,8.381
18,E06000018,18,E06000018,Nottingham,Nottingham,155214,109015,332900,29.8,67.28395062,6.790123457,2.777777778,11.11111111,8.641975309,3.395061728,34.891
19,E06000019,19,E06000019,"Herefordshire, County of","Herefordshire, County of",123408,99304,192801,46.7,92.59259259,6.349206349,0.529100529,0.529100529,0,0,18.89
20,E06000020,20,E06000020,Telford and Wrekin,Telford and Wrekin,107734,84522,179854,39.3,89.14285714,3.428571429,1.142857143,4.571428571,1.142857143,0.571428571,24.988
21,E06000021,21,E06000021,Stoke-on-Trent,Stoke-on-Trent,153367,114277,256375,37.7,82.21343874,2.766798419,1.185770751,8.695652174,2.766798419,2.371541502,34.504
22,E06000022,22,E06000022,Bath and North East Somerset,Bath and North East Somerset,115045,86359,193282,38.6,91.44385027,4.278074866,1.069518717,1.604278075,1.069518717,0.534759358,11.745
