FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingDate/_xsi:nil,Geocode/Longitude,Geocode/Latitude
1297053,79045,The Liverpool School of English Coffee Shop Limited,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,52 - 54 Mount Pleasant,,Liverpool,Liverpool,,TRUE,,
1111866,PI/000273731,Cargo Restaurant Bar And Deli,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,28/02/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,10,10,FHRS,FALSE,"Alexandra Tower, 19 Princes Parade",,Liverpool,Liverpool,L3 1BD,,-3.001553,53.4111352
1243767,71678,Gary's Refreshments,Mobile caterer,7846,5,fhrs_5_en-GB,28/03/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,Garys Refreshments Regent Road,Stanley Dock,Liverpool,Liverpool,L3 0AN,,-3.0000138,53.4203513
497023,PI/000121545,The Bramley Moore,Pub/bar/nightclub,7843,5,fhrs_5_en-GB,22/11/2016,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,5,FHRS,FALSE,32 - 34 Regent Road,Sandhills,Liverpool,Liverpool,L5 9SR,,-2.9999899,53.4240292
1302733,79134,Murphy's Gin,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,8 Regent Road,Stanley Dock,Liverpool,Liverpool,L3 7BX,TRUE,-2.9997961,53.418687
1377188,79886,INVISIBURGER,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Invisible Wind Factory, 3 Regent Road",Stanley Dock,Liverpool,Liverpool,L3 7DS,TRUE,-2.999648,53.4182778
752346,PI/000264351,Riverside Diner,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,29/04/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,5,FHRS,FALSE,69 Waterloo Road,,Liverpool,Liverpool,L3 7BE,,-2.9995949,53.4174527
497044,PI/000124055,Restaurant Associates,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,11/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"K P M G, 8 Princes Parade",,Liverpool,Liverpool,L3 1QH,,-2.999017954,53.40760422
1244359,77935,Tranquil Evolution,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,13 Waterloo Road,,Liverpool,Liverpool,L3 7BB,TRUE,-2.9988614,53.4127505
498866,PI/000248488,Bacchus Greek Taverna,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,13/10/2017,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,5,FHRS,FALSE,14 Waterloo Road,,Liverpool,Liverpool,L3 7BB,,-2.9988248,53.412839
