msoa_code,msoa_name,total_first_dose,total_second_dose
E02001347,Fazakerley North,4620 ,3521 
E02001348,Walton Vale,4020 ,2953 
E02001349,Orrell Park,4969 ,3557 
E02001350,Croxteth West & Gillmoss,4713 ,3469 
E02001351,Fazakerley South,4953 ,3542 
E02001352,Walton North,3730 ,2555 
E02001353,Croxteth East,4545 ,3390 
E02001354,Walton East,4285 ,3118 
E02001355,Walton Hall,3810 ,2687 
E02001356,Norris Green East,4013 ,2637 
E02001357,Norris Green West,3868 ,2858 
E02001358,Walton South,3622 ,2420 
E02001359,Croxteth Park,3628 ,2746 
E02001360,Kirkdale North,4623 ,3049 
E02001361,Anfield North,4389 ,3299 
E02001362,Muirhead Avenue,4673 ,3561 
E02001363,Yewtree,4017 ,2884 
E02001364,Anfield West,3081 ,2051 
E02001365,Anfield East,4485 ,3032 
E02001366,Tuebrook,4879 ,3457 
E02001367,Sandfield Park & Holly Lodge,6271 ,4741 
E02001368,Kirkdale South & Vauxhall,4143 ,2769 
E02001369,Everton West,4419 ,2977 
E02001370,Everton East,3741 ,2612 
E02001371,Knotty Ash,3916 ,2779 
E02001372,Dovecot,3912 ,2941 
E02001373,Fairfield East,5080 ,3664 
E02001374,Fairfield West & Newsham Park,4183 ,2641 
E02001375,Stoneycroft,4166 ,3177 
E02001376,Kensington,3879 ,2566 
E02001377,Edge Hill,4431 ,2774 
E02001378,Wavertree East,4496 ,3341 
E02001380,Broad Green,4891 ,3656 
E02001381,Wavertree West,4210 ,2683 
E02001382,Childwall East,4652 ,3455 
E02001383,"Chinatown, St James & Georgian Quarter",3635 ,2226 
E02001384,Wavertree South,3997 ,2560 
E02001385,Toxteth Park,3420 ,1927 
E02001386,Belle Vale,4932 ,3666 
E02001387,Childwall West & Wavertree Green,5388 ,4053 
E02001388,Wavertree Penny Lane,4468 ,2981 
E02001389,Princes Park,3402 ,2042 
E02001390,Toxteth,4914 ,3280 
E02001391,Netherley,3335 ,2323 
E02001392,Gateacre,4268 ,3303 
E02001393,Calderstones,5164 ,4062 
E02001394,Mossley Hill West & Sefton Park,5278 ,3598 
E02001395,Mossley Hill East,3958 ,2857 
E02001396,Dingle,4387 ,2883 
E02001397,Woolton,4879 ,3726 
E02001398,St Michael's & Otterspool,4589 ,3175 
E02001399,West Allerton,4896 ,3581 
E02001400,Allerton,4287 ,3116 
E02001401,Hunts Cross,5092 ,3731 
E02001402,Aigburth & Grassendale,5862 ,4097 
E02001403,Garston,3365 ,2169 
E02001404,Speke West & Airport,3864 ,2558 
E02001405,Speke East,4545 ,3059 
E02006932,Central & Islington,3620 ,1915 
E02006933,Albert Dock & Queen's Dock,3777 ,2358 
E02006934,Pier Head,2669 ,1458 
